LOGRECNO,GEOID,Population 15 years and over in the United States,Median income 
22949,86000US38469,3156,18169
22950,86000US38471,469,18281
22951,86000US38472,2230,24063
22952,86000US38473,786,16996
22953,86000US38474,6729,20448
22954,86000US38475,622,14550
22955,86000US38476,785,32455
22956,86000US38477,2457,20972
22957,86000US38478,14584,20952
22958,86000US38481,864,18315
22959,86000US38482,1267,25561
22960,86000US38483,4323,22485
22961,86000US38485,5678,17086
22962,86000US38486,677,16464
22963,86000US38487,655,19293
22964,86000US38488,2028,26224
22965,86000US38501,31254,17092
22966,86000US38504,996,15850
22967,86000US38505,1753,2499
22968,86000US38506,21435,23139
22969,86000US38541,1305,22432
22970,86000US38542,26,11250
22971,86000US38543,406,25625
22972,86000US38544,5624,17106
22973,86000US38545,1039,19969
22974,86000US38547,1310,26392
22975,86000US38548,449,18929
22976,86000US38549,3240,17847
22977,86000US38551,3220,16492
22978,86000US38552,476,21328
22979,86000US38553,2039,14816
22980,86000US38554,765,12104
22981,86000US38555,15936,17378
22982,86000US38556,9801,14955
22983,86000US38558,7216,27288
22984,86000US38559,1226,20291
22985,86000US38560,1052,23491
22986,86000US38562,5442,16431
22987,86000US38563,1957,25239
22988,86000US38564,324,15967
22989,86000US38565,984,20364
22990,86000US38567,729,25625
22991,86000US38568,1957,17019
22992,86000US38569,263,32500
22993,86000US38570,7783,20160
22994,86000US38571,11270,19655
22995,86000US38572,8791,17842
22996,86000US38573,1761,19007
22997,86000US38574,6619,19151
22998,86000US38575,1037,20599
22999,86000US38577,737,19135
23000,86000US38578,134,19375
23001,86000US38579,808,12105
23002,86000US38580,1430,20071
23003,86000US38581,3388,20879
23004,86000US38582,1224,27847
23005,86000US38583,19673,18712
23006,86000US38585,3030,18349
23007,86000US38587,942,17423
23008,86000US38588,838,16463
23009,86000US38589,200,13913
23010,86000US38601,2768,19331
23011,86000US38603,2524,17415
23012,86000US38606,11948,23297
23013,86000US38610,3126,18271
23014,86000US38611,12739,22769
23015,86000US38614,14874,16767
23016,86000US38617,723,16918
23017,86000US38618,9202,19969
23018,86000US38619,4780,16378
23019,86000US38620,3272,16401
23020,86000US38621,1390,15074
23021,86000US38622,426,13462
23022,86000US38623,219,12593
23023,86000US38625,703,17614
23024,86000US38626,934,24245
23025,86000US38627,804,25771
23026,86000US38629,1916,15064
23027,86000US38630,183,14196
23028,86000US38631,690,15151
23029,86000US38632,19869,32038
23030,86000US38633,2195,14287
23031,86000US38635,13655,20158
23032,86000US38637,19734,23041
23033,86000US38639,896,10857
23034,86000US38641,2232,31402
23035,86000US38642,1673,16953
23036,86000US38643,1804,14688
23037,86000US38644,221,17813
23038,86000US38645,1450,15664
23039,86000US38646,2655,16556
23040,86000US38647,1157,11412
23041,86000US38650,3027,20577
23042,86000US38651,5734,28433
23043,86000US38652,12712,19995
23044,86000US38654,37206,31829
23045,86000US38655,30447,21723
23046,86000US38658,1327,23448
23047,86000US38659,1853,19714
23048,86000US38661,1841,20291
23049,86000US38663,8856,20196
23050,86000US38664,2526,25151
23051,86000US38665,1970,22057
23052,86000US38666,5322,17732
23053,86000US38668,11831,22489
23054,86000US38670,872,14237
23055,86000US38671,27299,27739
23056,86000US38672,8782,41613
23057,86000US38673,577,13337
23058,86000US38674,857,11287
23059,86000US38676,4763,16542
23060,86000US38677,4541,2499
23061,86000US38680,4008,27784
23062,86000US38683,4245,16049
23063,86000US38685,739,15542
23064,86000US38701,18743,16166
23065,86000US38702,0,.
23066,86000US38703,10100,15786
23067,86000US38704,6,.
23068,86000US38720,500,19250
23069,86000US38721,875,24396
23070,86000US38722,418,14688
23071,86000US38723,5,.
23072,86000US38725,648,12645
23073,86000US38726,281,16500
23074,86000US38730,1355,21868
23075,86000US38731,101,.
23076,86000US38732,14353,18378
23077,86000US38736,357,17292
23078,86000US38737,3092,13764
23079,86000US38738,2771,12031
23080,86000US38740,306,14010
23081,86000US38744,675,20132
23082,86000US38745,93,15625
23083,86000US38746,468,16758
23084,86000US38748,3261,13447
23085,86000US38749,16,.
23086,86000US38751,8962,14964
23087,86000US38753,1012,17042
23088,86000US38754,1381,11111
23089,86000US38756,5379,17867
23090,86000US38759,894,31159
23091,86000US38760,707,13578
23092,86000US38761,1938,9996
23093,86000US38762,1800,18438
23094,86000US38764,300,13237
23095,86000US38765,16,.
23096,86000US38767,96,30000
23097,86000US38768,135,14583
23098,86000US38769,1852,11600
23099,86000US38771,2326,14085
23100,86000US38772,166,13173
23101,86000US38773,3081,12429
23102,86000US38774,1883,12810
23103,86000US38778,1209,12011
23104,86000US38781,193,9000
23105,86000US38801,22658,23065
23106,86000US38804,14368,21919
23107,86000US38821,10120,19527
23108,86000US38824,6853,18953
23109,86000US38826,3779,21265
23110,86000US38827,1926,22072
23111,86000US38828,3625,18886
23112,86000US38829,14626,17935
23113,86000US38833,2441,16068
23114,86000US38834,23889,19554
23115,86000US38838,1126,15455
23116,86000US38841,1996,22551
23117,86000US38843,9439,20452
23118,86000US38844,153,18804
23119,86000US38846,1916,16507
23120,86000US38847,2696,17447
23121,86000US38848,740,19773
23122,86000US38849,4455,23516
23123,86000US38850,2378,16996
23124,86000US38851,6598,20474
23125,86000US38852,7536,20191
23126,86000US38855,3777,21733
23127,86000US38856,1502,19635
23128,86000US38857,2628,21925
23129,86000US38858,5981,19990
23130,86000US38859,483,16970
23131,86000US38860,4588,13360
23132,86000US38862,1849,19856
23133,86000US38863,15755,21076
23134,86000US38864,1377,21035
23135,86000US38865,3349,17272
23136,86000US38866,9491,23008
23137,86000US38868,4046,22747
23138,86000US38869,279,21111
23139,86000US38870,2085,25519
23140,86000US38871,1492,24583
23141,86000US38873,2203,16907
23142,86000US38876,1358,20213
23143,86000US38878,2185,16649
23144,86000US38879,453,17171
23145,86000US38901,14603,17304
23146,86000US38913,317,31250
23147,86000US38914,380,18542
23148,86000US38915,3159,18848
23149,86000US38916,3963,16388
23150,86000US38917,2368,20583
23151,86000US38920,570,24851
23152,86000US38921,3570,14180
23153,86000US38922,3019,17240
23154,86000US38923,1511,9893
23155,86000US38924,497,11813
23156,86000US38925,1951,16851
23157,86000US38927,887,18646
23158,86000US38928,207,9750
23159,86000US38929,1103,12686
23160,86000US38930,20084,16270
23161,86000US38940,1339,15226
23162,86000US38941,3872,11360
23163,86000US38943,267,46000
23164,86000US38944,445,16981
23165,86000US38945,14,.
23166,86000US38946,240,18250
23167,86000US38947,515,12009
23168,86000US38948,1490,19909
23169,86000US38949,78,12279
23170,86000US38950,195,25086
23171,86000US38951,1218,16101
23172,86000US38952,499,18148
23173,86000US38953,834,32950
23174,86000US38954,847,12485
23175,86000US38957,517,14243
23176,86000US38958,29,.
23177,86000US38961,488,21731
23178,86000US38962,77,14821
23179,86000US38963,4796,11563
23180,86000US38964,237,36298
23181,86000US38965,7293,18347
23182,86000US38966,649,14375
23183,86000US38967,5798,17844
23184,86000US39038,4914,12911
23185,86000US39039,1671,18531
23186,86000US39040,2950,21059
23187,86000US39041,3501,15330
23188,86000US39042,27050,31662
23189,86000US39044,3137,23449
23190,86000US39045,924,16168
23191,86000US39046,20704,20674
23192,86000US39047,29575,37588
23193,86000US39051,12617,17596
23194,86000US39054,359,19833
23195,86000US39056,21232,29870
23196,86000US39057,1457,18325
23197,86000US39059,9321,17889
23198,86000US39061,165,26875
23199,86000US39062,361,20500
23200,86000US39063,2484,16517
23201,86000US39066,3815,20352
23202,86000US39067,1211,18229
23203,86000US39069,5131,15313
23204,86000US39071,4258,24591
23205,86000US39073,15505,27224
23206,86000US39074,11197,17207
23207,86000US39078,771,11207
23208,86000US39079,1681,15432
23209,86000US39082,809,19004
23210,86000US39083,8478,18143
23211,86000US39086,1851,16672
23212,86000US39088,164,21708
23213,86000US39090,10517,19516
23214,86000US39092,2710,20574
23215,86000US39094,2958,16356
23216,86000US39095,5946,14599
23217,86000US39096,1252,9568
23218,86000US39097,480,14068
23219,86000US39108,1572,16460
23220,86000US39110,28540,44412
23221,86000US39111,7443,21539
23222,86000US39113,565,12120
23223,86000US39114,8052,22827
23224,86000US39115,51,8445
23225,86000US39116,2049,20811
23226,86000US39117,8138,20571
23227,86000US39119,4478,16885
23228,86000US39120,26534,17344
23229,86000US39140,1652,21221
23230,86000US39144,890,15625
23231,86000US39145,4247,21101
23232,86000US39146,1854,15395
23233,86000US39149,1277,19601
23234,86000US39150,4433,14408
23235,86000US39152,1008,17500
23236,86000US39153,2857,22014
23237,86000US39154,8398,28561
23238,86000US39156,232,36198
23239,86000US39157,20327,31438
23240,86000US39159,2657,15455
23241,86000US39160,2432,14731
23242,86000US39162,65,23125
23243,86000US39166,351,25667
23244,86000US39167,0,.
23245,86000US39168,5429,19134
23246,86000US39169,2243,11975
23247,86000US39170,7876,29834
23248,86000US39174,598,4550
23249,86000US39175,3603,17553
23250,86000US39176,1686,13946
23251,86000US39177,59,33750
23252,86000US39179,673,18964
23253,86000US39180,26370,23695
23254,86000US39183,11490,23983
23255,86000US39189,3606,18326
23256,86000US39191,5715,20808
23257,86000US39192,1107,13213
23258,86000US39193,1076,9943
23259,86000US39194,16719,13694
23260,86000US39201,467,31042
23261,86000US39202,7880,19313
23262,86000US39203,5593,10073
23263,86000US39204,13775,15839
23264,86000US39206,19560,21613
23265,86000US39208,24304,24801
23266,86000US39209,21963,16043
23267,86000US39211,19641,31129
23268,86000US39212,24788,20884
23269,86000US39213,18015,14646
23270,86000US39216,2538,24280
23271,86000US39217,756,3942
23272,86000US39218,5555,24060
23273,86000US39232,5677,36870
23274,86000US39269,0,.
23275,86000US39272,10201,28499
23276,86000US39301,20770,16634
23277,86000US39305,16488,26845
23278,86000US39307,14863,15212
23279,86000US39309,590,15864
23280,86000US39320,1807,24664
23281,86000US39322,1331,24946
23282,86000US39323,883,22339
23283,86000US39325,4908,29916
23284,86000US39326,810,16815
23285,86000US39327,3369,23605
23286,86000US39328,3951,16598
23287,86000US39330,2082,24031
23288,86000US39332,1442,19883
23289,86000US39335,2831,14907
23290,86000US39336,979,17361
23291,86000US39337,1547,21543
23292,86000US39338,2665,17772
23293,86000US39339,12525,16978
23294,86000US39341,5332,12970
23295,86000US39342,1198,22235
23296,86000US39345,4884,19069
23297,86000US39346,1847,18977
23298,86000US39347,1339,14772
23299,86000US39348,497,9816
23300,86000US39350,19152,19069
23301,86000US39352,581,13028
23302,86000US39354,1074,13900
23303,86000US39355,5353,18285
23304,86000US39356,531,24076
23305,86000US39358,1280,12715
23306,86000US39359,178,24688
23307,86000US39360,3410,15521
23308,86000US39361,1560,13146
23309,86000US39362,1916,16415
23310,86000US39363,1318,17988
23311,86000US39364,2592,21063
23312,86000US39365,5656,20114
23313,86000US39366,915,15330
23314,86000US39367,11664,18926
23315,86000US39401,35521,15315
23316,86000US39402,30987,27157
23317,86000US39406,2072,2864
23318,86000US39421,2865,14475
23319,86000US39422,4334,21834
23320,86000US39423,2189,15845
23321,86000US39425,1329,29075
23322,86000US39426,12612,25238
23323,86000US39427,1128,20743
23324,86000US39428,7535,17475
23325,86000US39429,13839,16054
23326,86000US39437,10697,16813
23327,86000US39439,3558,17189
23328,86000US39440,16124,17028
23329,86000US39443,17543,23638
23330,86000US39451,6533,18585
23331,86000US39452,21331,22637
23332,86000US39455,7724,16027
23333,86000US39456,887,18410
23334,86000US39459,2755,26028
23335,86000US39461,360,16329
23336,86000US39462,1119,14073
23337,86000US39464,1938,25903
23338,86000US39465,16359,23642
23339,86000US39466,22657,20604
23340,86000US39470,10685,18895
23341,86000US39474,4827,16439
23342,86000US39475,9634,27366
23343,86000US39476,5484,20950
23344,86000US39477,579,18568
23345,86000US39478,1585,20644
23346,86000US39479,4322,21046
23347,86000US39480,2742,19103
23348,86000US39481,1387,17713
23349,86000US39482,6663,26381
23350,86000US39483,4671,15359
23351,86000US39501,16647,16032
23352,86000US39503,37475,24763
23353,86000US39507,13373,25299
23354,86000US39520,11944,20916
23355,86000US39525,7168,35377
23356,86000US39530,6799,17982
23357,86000US39531,14248,23201
23358,86000US39532,27686,26461
23359,86000US39534,2335,13697
23360,86000US39540,6708,24534
23361,86000US39553,13271,23845
23362,86000US39556,6138,25316
23363,86000US39560,13487,27556
23364,86000US39561,1709,21833
23365,86000US39562,14053,23354
23366,86000US39563,11637,19852
23367,86000US39564,29584,30434
23368,86000US39565,14605,24253
23369,86000US39567,9173,20800
23370,86000US39571,10570,27475
23371,86000US39572,1165,15867
23372,86000US39573,6493,20428
23373,86000US39574,9900,23592
23374,86000US39576,4855,22355
23375,86000US39577,8834,16450
23376,86000US39581,8825,22477
23377,86000US39601,18620,19614
23378,86000US39629,5472,23074
23379,86000US39630,1014,20221
23380,86000US39631,2705,18901
23381,86000US39633,1002,16530
23382,86000US39635,111,.
23383,86000US39638,2327,17373
23384,86000US39641,3393,18835
23385,86000US39643,997,15857
23386,86000US39645,4170,17826
23387,86000US39647,784,27734
23388,86000US39648,17035,18341
23389,86000US39652,6277,16308
23390,86000US39653,2386,23247
23391,86000US39654,4294,22358
23392,86000US39656,916,18846
23393,86000US39657,1371,18873
23394,86000US39661,2051,17874
23395,86000US39662,833,17301
23396,86000US39663,2335,15240
23397,86000US39664,1804,15481
23398,86000US39665,1001,22800
23399,86000US39666,7784,18488
23400,86000US39667,10147,15876
23401,86000US39668,204,21905
23402,86000US39669,5028,18604
23403,86000US39701,11063,14471
23404,86000US39702,17376,19388
23405,86000US39705,11514,25926
23406,86000US39730,9187,17117
23407,86000US39735,3249,17045
23408,86000US39736,210,12235
23409,86000US39737,396,26842
23410,86000US39739,2065,16487
23411,86000US39740,4247,24709
23412,86000US39741,1065,22600
23413,86000US39743,1339,16045
23414,86000US39744,4607,14895
23415,86000US39745,599,26607
23416,86000US39746,2610,25158
23417,86000US39747,1593,15903
23418,86000US39750,2266,16991
23419,86000US39751,1135,17900
23420,86000US39752,2073,17345
23421,86000US39755,655,16385
23422,86000US39756,1892,17686
23423,86000US39759,35573,16236
23424,86000US39760,0,.
23425,86000US39762,2504,2686
23426,86000US39766,2161,23182
23427,86000US39767,489,15500
23428,86000US39769,1687,19428
23429,86000US39771,107,34107
23430,86000US39772,1271,16462
23431,86000US39773,13257,18037
23432,86000US39776,1101,18920
23433,86000US39813,1451,17445
23434,86000US39815,1342,15737
23435,86000US39817,9229,21252
23436,86000US39819,8343,20538
23437,86000US39823,6868,18989
23438,86000US39824,280,15581
23439,86000US39825,994,18295
23440,86000US39826,479,16078
23441,86000US39827,3153,17400
23442,86000US39828,12074,17958
23443,86000US39834,1690,22647
23444,86000US39836,547,16635
23445,86000US39837,4851,22397
23446,86000US39840,4390,19521
23447,86000US39841,477,18649
23448,86000US39842,6432,18090
23449,86000US39845,6501,19564
23450,86000US39846,1220,14708
23451,86000US39851,1707,13641
23452,86000US39854,1991,15223
23453,86000US39859,919,19386
23454,86000US39861,844,17656
23455,86000US39862,907,24896
23456,86000US39866,2837,11821
23457,86000US39867,355,18379
23458,86000US39870,1923,19647
23459,86000US39877,358,13359
23460,86000US39885,100,25625
23461,86000US39886,1308,16711
23462,86000US39897,2701,18234
23463,86000US40003,1868,28808
23464,86000US40004,22519,24562
23465,86000US40006,3799,26235
23466,86000US40007,66,38500
23467,86000US40008,2919,25997
23468,86000US40009,1172,22592
23469,86000US40010,353,28464
23470,86000US40011,1738,26106
23471,86000US40012,485,15179
23472,86000US40013,4362,26225
23473,86000US40014,15527,35314
23474,86000US40019,2792,19684
23475,86000US40020,104,19861
23476,86000US40022,649,35690
23477,86000US40023,3568,38923
23478,86000US40025,74,87917
23479,86000US40026,4170,42387
23480,86000US40031,18579,28062
23481,86000US40033,9847,21190
23482,86000US40036,195,18750
23483,86000US40037,2139,22412
23484,86000US40040,385,19447
23485,86000US40041,323,14255
23486,86000US40045,2959,24145
23487,86000US40046,1706,25417
23488,86000US40047,14737,32297
23489,86000US40048,101,6028
23490,86000US40049,109,10938
23491,86000US40050,1206,14888
23492,86000US40051,3526,22966
23493,86000US40052,434,13681
23494,86000US40055,1604,29375
23495,86000US40056,2876,31419
23496,86000US40057,3023,24474
23497,86000US40058,78,13194
23498,86000US40059,13705,46554
23499,86000US40060,899,24663
23500,86000US40062,410,28237
23501,86000US40063,761,5313
23502,86000US40065,22455,26593
23503,86000US40067,4501,31964
23504,86000US40068,1737,25556
23505,86000US40069,6753,20935
23506,86000US40070,448,25938
23507,86000US40071,11519,31164
23508,86000US40075,964,25766
23509,86000US40076,1742,26686
23510,86000US40077,377,22353
23511,86000US40078,1827,23503
23512,86000US40104,1084,20241
23513,86000US40107,1737,21787
23514,86000US40108,9234,23493
23515,86000US40109,1873,24071
23516,86000US40110,16,.
23517,86000US40111,1411,17360
23518,86000US40115,604,13975
23519,86000US40117,2135,30855
23520,86000US40118,7395,23750
23521,86000US40119,1513,24479
23522,86000US40121,7324,26004
23523,86000US40140,295,23648
23524,86000US40142,1777,18881
23525,86000US40143,5495,17927
23526,86000US40144,1406,20653
23527,86000US40145,669,20912
23528,86000US40146,3350,18823
23529,86000US40150,3198,24633
23530,86000US40152,382,13680
23531,86000US40155,904,15889
23532,86000US40157,680,16912
23533,86000US40160,17994,25709
23534,86000US40161,86,16250
23535,86000US40162,4735,28929
23536,86000US40165,27432,25099
23537,86000US40170,225,20000
23538,86000US40171,210,25769
23539,86000US40175,10354,26944
23540,86000US40176,747,25066
23541,86000US40177,1222,21640
23542,86000US40178,292,23618
23543,86000US40202,5975,12430
23544,86000US40203,14753,12044
23545,86000US40204,12724,26700
23546,86000US40205,20470,36606
23547,86000US40206,16263,29053
23548,86000US40207,24682,38795
23549,86000US40208,12764,12497
23550,86000US40209,471,14918
23551,86000US40210,11366,14519
23552,86000US40211,17217,16156
23553,86000US40212,14184,15767
23554,86000US40213,12940,21877
23555,86000US40214,36883,22986
23556,86000US40215,17047,18147
23557,86000US40216,32856,22127
23558,86000US40217,11224,23303
23559,86000US40218,23762,22172
23560,86000US40219,31649,22288
23561,86000US40220,27886,29781
23562,86000US40222,18355,34895
23563,86000US40223,17634,36905
23564,86000US40228,12517,30942
23565,86000US40229,28297,26386
23566,86000US40231,0,.
23567,86000US40241,24336,38688
23568,86000US40242,9082,31763
23569,86000US40243,8971,33777
23570,86000US40245,23465,44085
23571,86000US40258,21919,24987
23572,86000US40272,30148,25118
23573,86000US40280,427,11125
23574,86000US40291,27478,32745
23575,86000US40299,30232,35393
23576,86000US40310,530,15793
23577,86000US40311,5821,21946
23578,86000US40312,5245,11986
23579,86000US40313,2783,15232
23580,86000US40316,246,29773
23581,86000US40322,2666,14853
23582,86000US40324,32942,30553
23583,86000US40328,813,22733
23584,86000US40330,15075,23618
23585,86000US40334,106,4375
23586,86000US40336,10634,16815
23587,86000US40337,4355,17638
23588,86000US40339,0,.
23589,86000US40342,16893,29076
23590,86000US40346,573,27361
23591,86000US40347,2278,29114
23592,86000US40348,598,16146
23593,86000US40350,99,19531
23594,86000US40351,16634,17103
23595,86000US40353,16628,21294
23596,86000US40356,32378,24814
23597,86000US40358,742,17059
23598,86000US40359,5545,24022
23599,86000US40360,5320,20530
23600,86000US40361,14736,22238
23601,86000US40363,0,.
23602,86000US40370,1860,28561
23603,86000US40371,2298,13857
23604,86000US40372,2057,24609
23605,86000US40374,1363,13344
23606,86000US40376,14,.
23607,86000US40379,2832,27057
23608,86000US40380,4769,16563
23609,86000US40383,18077,27372
23610,86000US40385,2449,18872
23611,86000US40387,1728,22063
23612,86000US40390,5894,15367
23613,86000US40391,28479,25178
23614,86000US40402,1898,15784
23615,86000US40403,19334,20318
23616,86000US40404,664,2733
23617,86000US40409,3113,16161
23618,86000US40419,3360,16664
23619,86000US40422,20390,20174
23620,86000US40434,88,36368
23621,86000US40437,4441,21841
23622,86000US40440,1659,18468
23623,86000US40442,864,14512
23624,86000US40444,11092,23011
23625,86000US40445,728,12722
23626,86000US40447,6420,14812
23627,86000US40448,0,.
23628,86000US40456,7934,17125
23629,86000US40460,709,13500
23630,86000US40461,2819,25984
23631,86000US40464,775,18310
23632,86000US40468,1673,15744
23633,86000US40472,1279,18210
23634,86000US40475,46649,18364
23635,86000US40481,315,23000
23636,86000US40484,9143,18200
23637,86000US40486,2192,15338
23638,86000US40489,3369,16533
23639,86000US40502,23044,31380
23640,86000US40503,23858,26692
23641,86000US40504,21901,18584
23642,86000US40505,21239,20349
23643,86000US40506,2128,2844
23644,86000US40507,1617,20017
23645,86000US40508,22775,9142
23646,86000US40509,26446,34506
23647,86000US40510,1985,12610
23648,86000US40511,24583,27595
23649,86000US40513,8970,49703
23650,86000US40514,11648,42196
23651,86000US40515,26844,36443
23652,86000US40516,2183,30352
23653,86000US40517,28386,23403
23654,86000US40601,40936,26917
23655,86000US40604,437,4942
23656,86000US40701,22756,17616
23657,86000US40729,4814,15452
23658,86000US40734,2634,12397
23659,86000US40737,1105,15875
23660,86000US40740,2554,18401
23661,86000US40741,18109,19325
23662,86000US40743,363,37333
23663,86000US40744,13986,20794
23664,86000US40759,2142,14523
23665,86000US40763,426,14917
23666,86000US40769,14894,14592
23667,86000US40771,939,9518
23668,86000US40801,432,11310
23669,86000US40806,2126,15718
23670,86000US40807,386,26250
23671,86000US40808,62,28750
23672,86000US40810,964,17558
23673,86000US40813,576,17000
23674,86000US40815,1193,13951
23675,86000US40816,33,.
23676,86000US40818,50,11850
23677,86000US40819,688,21130
23678,86000US40820,298,12976
23679,86000US40823,3409,14835
23680,86000US40824,696,13491
23681,86000US40826,778,9929
23682,86000US40827,462,11294
23683,86000US40828,2851,14671
23684,86000US40829,275,10982
23685,86000US40830,238,15102
23686,86000US40831,4238,16458
23687,86000US40840,254,21898
23688,86000US40843,248,9688
23689,86000US40844,38,35227
23690,86000US40845,472,16641
23691,86000US40847,209,14868
23692,86000US40849,251,17632
23693,86000US40854,959,14764
23694,86000US40855,735,14537
23695,86000US40856,892,14375
23696,86000US40858,470,20000
23697,86000US40862,719,19489
23698,86000US40863,475,17609
23699,86000US40865,298,21645
23700,86000US40868,976,15966
23701,86000US40870,259,30192
23702,86000US40873,1837,18761
23703,86000US40874,440,10313
23704,86000US40902,863,18105
23705,86000US40903,656,10969
23706,86000US40906,9353,13801
23707,86000US40913,144,9773
23708,86000US40914,387,17353
23709,86000US40915,1084,16030
23710,86000US40921,249,11366
23711,86000US40923,645,18483
23712,86000US40927,189,10227
23713,86000US40935,2211,11993
23714,86000US40939,218,14458
23715,86000US40940,418,12500
23716,86000US40941,81,13542
23717,86000US40943,634,11051
23718,86000US40946,137,13781
23719,86000US40949,564,17276
23720,86000US40953,798,13014
23721,86000US40958,259,18478
23722,86000US40962,15606,13449
23723,86000US40964,242,14158
23724,86000US40965,10984,14345
23725,86000US40972,988,11364
23726,86000US40977,8424,15434
23727,86000US40979,117,27778
23728,86000US40982,359,12102
23729,86000US40983,434,8564
23730,86000US40988,473,14792
23731,86000US40995,8,.
23732,86000US40997,226,10391
23733,86000US41001,12587,31039
23734,86000US41002,1955,20545
23735,86000US41003,1843,20814
23736,86000US41004,3467,24827
23737,86000US41005,18416,33329
23738,86000US41006,3489,25603
23739,86000US41007,2879,27896
23740,86000US41008,5840,20164
23741,86000US41010,2809,20151
23742,86000US41011,20668,22164
23743,86000US41014,6004,20429
23744,86000US41015,16525,26640
23745,86000US41016,4759,25074
23746,86000US41017,32176,31715
23747,86000US41018,21270,28139
23748,86000US41030,4681,21587
23749,86000US41031,12873,20974
23750,86000US41033,1476,29704
23751,86000US41034,799,25357
23752,86000US41035,8219,23580
23753,86000US41039,2144,17538
23754,86000US41040,6175,22043
23755,86000US41041,5956,18333
23756,86000US41042,38702,29110
23757,86000US41043,1358,27692
23758,86000US41044,693,22214
23759,86000US41045,1089,24286
23760,86000US41046,1434,20385
23761,86000US41048,10441,35958
23762,86000US41049,1637,19003
23763,86000US41051,20837,32938
23764,86000US41052,65,37500
23765,86000US41055,1523,26845
23766,86000US41056,11379,20695
23767,86000US41059,2637,28276
23768,86000US41062,36,13500
23769,86000US41063,2530,24600
23770,86000US41064,1579,18634
23771,86000US41071,17793,22080
23772,86000US41073,4810,31035
23773,86000US41074,4141,20531
23774,86000US41075,13050,32324
23775,86000US41076,14240,31539
23776,86000US41080,1586,32021
23777,86000US41083,891,21574
23778,86000US41085,479,19306
23779,86000US41086,2138,27635
23780,86000US41091,12529,40088
23781,86000US41092,2767,25654
23782,86000US41093,2342,19234
23783,86000US41094,10761,30975
23784,86000US41095,2455,22266
23785,86000US41097,5743,24981
23786,86000US41098,1763,23969
23787,86000US41099,908,3579
23788,86000US41101,15839,20248
23789,86000US41102,17503,20552
23790,86000US41121,1255,30321
23791,86000US41124,1083,15238
23792,86000US41129,8263,23984
23793,86000US41132,367,17564
23794,86000US41135,171,17163
23795,86000US41139,6660,22157
23796,86000US41141,1570,14134
23797,86000US41142,12,.
23798,86000US41143,11849,17136
23799,86000US41144,8616,22240
23800,86000US41146,231,14286
23801,86000US41149,452,9547
23802,86000US41159,309,10500
23803,86000US41164,10757,18049
23804,86000US41166,842,16029
23805,86000US41168,2607,23993
23806,86000US41169,4688,23396
23807,86000US41171,3932,11787
23808,86000US41174,950,12957
23809,86000US41175,4853,20091
23810,86000US41179,6084,17108
23811,86000US41180,1020,12459
23812,86000US41183,1145,22942
23813,86000US41189,1868,18613
23814,86000US41201,217,21510
23815,86000US41203,703,15332
23816,86000US41204,515,16364
23817,86000US41214,309,18558
23818,86000US41216,932,16435
23819,86000US41219,1634,21639
23820,86000US41222,1965,15915
23821,86000US41224,5654,15823
23822,86000US41226,96,37321
23823,86000US41230,9534,16793
23824,86000US41231,563,23000
23825,86000US41232,456,28523
23826,86000US41234,328,22092
23827,86000US41238,821,18504
23828,86000US41240,6525,15127
23829,86000US41250,883,21367
23830,86000US41254,490,21509
23831,86000US41255,901,17105
23832,86000US41256,1825,17706
23833,86000US41257,154,10556
23834,86000US41260,567,15851
23835,86000US41262,1276,13381
23836,86000US41263,315,14675
23837,86000US41264,142,22813
23838,86000US41265,1507,16553
23839,86000US41267,952,11992
23840,86000US41268,275,14970
23841,86000US41271,239,22857
23842,86000US41274,384,35625
23843,86000US41301,4790,13734
23844,86000US41311,6226,14092
23845,86000US41314,4303,12573
23846,86000US41317,249,11863
23847,86000US41332,953,13468
23848,86000US41339,8934,13633
23849,86000US41348,1151,13980
23850,86000US41352,591,13288
23851,86000US41360,338,9120
23852,86000US41365,414,16392
23853,86000US41366,10,.
23854,86000US41367,174,25195
23855,86000US41385,196,12500
23856,86000US41390,37,7031
23857,86000US41397,0,.
23858,86000US41408,294,9000
23859,86000US41421,96,11417
23860,86000US41425,829,15000
23861,86000US41464,622,9740
23862,86000US41465,9344,16185
23863,86000US41472,9407,16522
23864,86000US41501,20032,18704
23865,86000US41503,470,18077
23866,86000US41512,864,19559
23867,86000US41513,512,14102
23868,86000US41514,2441,16466
23869,86000US41517,43,26458
23870,86000US41519,1016,23463
23871,86000US41522,4277,17683
23872,86000US41524,379,21129
23873,86000US41526,79,14688
23874,86000US41527,624,33147
23875,86000US41528,547,15977
23876,86000US41531,749,18281
23877,86000US41534,159,15938
23878,86000US41535,377,20446
23879,86000US41537,4564,18093
23880,86000US41538,34,26923
23881,86000US41539,1390,18178
23882,86000US41540,198,23214
23883,86000US41543,487,9861
23884,86000US41544,782,13925
23885,86000US41547,242,12604
23886,86000US41548,633,14464
23887,86000US41553,2446,11720
23888,86000US41554,940,14282
23889,86000US41555,645,14769
23890,86000US41557,1560,20782
23891,86000US41558,610,22891
23892,86000US41559,275,14229
23893,86000US41560,221,21164
23894,86000US41562,2065,16720
23895,86000US41563,361,22273
23896,86000US41564,937,21125
23897,86000US41566,493,20391
23898,86000US41567,153,23229
23899,86000US41568,591,11746
23900,86000US41571,426,18393
23901,86000US41572,2900,20339
23902,86000US41601,494,24338
23903,86000US41602,289,26875
