LOGRECNO,GEOID,Population 15 years and over in the United States,Median income 
10916,86000US01985,3373,46339
10917,86000US02019,13445,37905
10918,86000US02021,17414,44499
10919,86000US02025,6040,48811
10920,86000US02026,20816,42717
10921,86000US02030,4289,71635
10922,86000US02032,3305,42044
10923,86000US02035,13543,41054
10924,86000US02038,24859,41292
10925,86000US02043,17401,43215
10926,86000US02045,8910,38426
10927,86000US02047,111,15089
10928,86000US02048,17905,42819
10929,86000US02050,20561,45661
10930,86000US02052,9521,54112
10931,86000US02053,10064,45210
10932,86000US02054,6436,42439
10933,86000US02056,9290,49969
10934,86000US02061,8135,42269
10935,86000US02062,23574,36435
10936,86000US02066,13848,43932
10937,86000US02067,13504,54438
10938,86000US02071,1596,25637
10939,86000US02072,23185,35105
10940,86000US02081,14907,43622
10941,86000US02090,11363,54706
10942,86000US02093,8876,42716
10943,86000US02108,3711,58160
10944,86000US02109,3921,61490
10945,86000US02110,1726,71414
10946,86000US02111,7225,18465
10947,86000US02113,6662,46055
10948,86000US02114,11305,55426
10949,86000US02115,27901,8670
10950,86000US02116,20070,48839
10951,86000US02118,24550,30046
10952,86000US02119,19895,17931
10953,86000US02120,12365,13158
10954,86000US02121,20909,18303
10955,86000US02122,20003,24139
10956,86000US02124,40507,24297
10957,86000US02125,28187,24425
10958,86000US02126,23056,22192
10959,86000US02127,29987,45657
10960,86000US02128,35978,23144
10961,86000US02129,14525,53674
10962,86000US02130,32870,37562
10963,86000US02131,25457,32756
10964,86000US02132,23025,43014
10965,86000US02134,18028,22354
10966,86000US02135,33831,31201
10967,86000US02136,23516,31263
10968,86000US02138,32294,30954
10969,86000US02139,32447,32457
10970,86000US02140,15470,40451
10971,86000US02141,11889,35164
10972,86000US02142,2589,48615
10973,86000US02143,23339,36247
10974,86000US02144,21527,41294
10975,86000US02145,20555,29891
10976,86000US02148,50603,26299
10977,86000US02149,34635,25148
10978,86000US02150,27752,21881
10979,86000US02151,43488,25691
10980,86000US02152,15012,38610
10981,86000US02155,51629,31974
10982,86000US02163,2008,12149
10983,86000US02169,47160,31792
10984,86000US02170,17277,32104
10985,86000US02171,15384,37398
10986,86000US02176,22358,44166
10987,86000US02180,18349,39952
10988,86000US02184,29694,36675
10989,86000US02186,21570,42878
10990,86000US02188,12250,35130
10991,86000US02189,12235,32184
10992,86000US02190,13666,41031
10993,86000US02191,6929,35996
